net_income,op_profit_loss,trans_rev_pax,prop_freight,prop_bag,res_cancel_fees,misc_op_rev,trans_revenue,op_revenues,flying_ops,maintenance,pax_service,aircft_services,general_admin,deprec_amort,trans_expenses,op_expenses,income_pre_tax,airline_id,unique_carrier,unique_carrier_name,carrier_name,unique_carrier_entity,region,year,quarter
14.07,13.57,83.72,0,0,0,0,0,83.72,40.45,12.29,6.55,2.91,6.25,1.69,0,70.15,13.36,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,11030,L,2019,2
15.46,14.68,79.02,0,0,0,0,0,79.02,36.39,13.25,5.17,2.64,5.39,1.5,0,64.34,14.45,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,11030,L,2019,1
63.26,2374.85,13913.56,0,0,0,0,0,13913.56,4160.54,4285.64,665.29,72.04,860.48,1494.66,0,11538.7,1384.91,20378,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,11022,L,2019,3
106.44,78.18,57574.09,0,0,0,0,3.55,57577.64,18336.18,22257.01,7486.03,4778.88,4141.59,475.03,0,57499.45,106.44,21167,CP (2),Compass Airlines,Compass Airlines,01131,D,2019,2
157.16,257.3,3752.71,0,0,0,0,25.39,3778.1,1947.4,810.9,299.69,97.85,173.78,189.87,0,3520.8,239.75,20304,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,11025,L,2019,4
191.3,249.15,7331.85,0,0,0,2.39,0.54,7334.78,2520,1401.81,332.42,1697.39,1017.17,114.9,0.17,7085.63,252.19,20398,MQ,Envoy Air,Envoy Air,16820,L,2019,1
195.2,273.55,3828.52,0,0,0,0,26.15,3854.67,2115.37,759.31,305.45,104.93,186.61,107.98,0,3581.12,274.87,20304,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,11025,L,2019,3
209.96,225.65,0,0,0,213.4,693.01,0,5567.71,1769.31,1852.65,371.18,488.51,552.89,193.07,0,5342.07,209.96,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic",16076,I,2019,2
214.94,282.44,8005.18,0,0,0,3.21,0.52,8008.91,2709.36,1644.54,354.01,1789.9,1103.8,121.37,0.34,7726.47,284.98,20398,MQ,Envoy Air,Envoy Air,16820,L,2019,2
259.55,390.89,4699.93,0,0,0,0,30.28,4730.21,2560.09,893.3,370.88,138.01,230.01,144.82,0,4339.32,380.67,20304,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,11025,L,2019,2
285.33,353.7,4302.17,0,0,0,0,41.61,4343.78,2419.85,754.07,339.23,139.89,216.59,118.38,0,3990.08,351.84,20304,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,11025,L,2019,1
288.92,692.45,10290.14,0,1514.42,183.64,8.9,97.99,15564.87,6121.94,1166.4,1092.08,3753.15,1124.96,718.43,69.14,14872.42,288.92,20422,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,16795,L,2019,3
289.95,311.6,0,0,0,294.7,957.01,0,7688.75,2443.33,2558.43,512.58,674.61,763.52,266.62,0,7377.14,289.95,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic",06076,D,2019,2
479.48,932.95,8259.25,0,0,0,191.57,0,8450.82,2133.33,2542.49,652.03,96.85,779.27,1313.9,0,7517.87,609.46,20452,YX,Republic Airline,Republic Airline,11029,L,2019,4
517.28,930.96,9032.64,0,863.45,117.18,5.71,69.89,14829.27,5737.54,1640.56,967.4,2525.07,1351.38,790.43,61.33,13898.31,517.28,20422,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,16795,L,2019,4
549.9,1089.28,8663.55,0,0,0,127.14,0,8790.7,2244.24,2665.47,695.68,96.52,594.93,1404.58,0,7701.41,738.68,20452,YX,Republic Airline,Republic Airline,11029,L,2019,3
615.8,1386.63,12435.94,0,0,0,158.14,0,12594.07,3443.21,3634.53,1025.36,163.53,909.92,2030.89,0,11207.45,829.32,20452,YX,Republic Airline,Republic Airline,11029,L,2019,1
633.7,1277.61,9681.1,0,0,0,121.79,0,9802.89,2496.05,2902.42,810.75,111.37,694.15,1510.54,0,8525.28,851.7,20452,YX,Republic Airline,Republic Airline,11029,L,2019,2
894.63,30488.91,173916.79,0,0,0,0,0,173916.79,50033.61,54546.16,8149.4,922.23,11016.32,18759.5,0,143427.87,17815.13,20378,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,06689,D,2019,3
1068.27,2075.14,14287.86,0,0,0,0,0,14287.86,4087.82,4708.63,706.8,82.22,1041.96,1585.24,0,12212.72,1068.27,20378,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,11022,L,2019,4
1100.28,2056.2,12789.3,0,0,0,0,0,12789.3,3837.25,3917.99,621.19,68.91,861.82,1425.95,0,10733.1,1100.28,20378,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,11022,L,2019,2
1230.97,1219.53,59998.6,0,0,0,0,2.77,60001.37,16882.81,25626.68,7799.87,4600.09,3367.69,479.94,0,58781.84,1230.97,21167,CP (2),Compass Airlines,Compass Airlines,01131,D,2019,3
1476.24,2900.51,14678.25,0,0,0,0,0,14678.25,4247.65,4003.4,699.39,88.09,1129.44,1609.77,0,11777.74,1476.24,20378,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,11022,L,2019,1
1605.86,1182.65,0,0,0,479.15,655.88,0,3429.29,841.68,997.82,206.16,349.29,495.55,-661.24,0,2246.65,1605.86,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic",16076,I,2019,4
1962.71,1445.46,0,0,0,585.63,801.64,0,4191.36,1028.72,1219.56,251.97,426.91,605.67,-808.18,0,2745.9,1962.71,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic",06076,D,2019,4
2396.84,3221.21,67190.2,0,0,0,0,24.79,67215,25750.53,22361.49,3636.84,1170.45,5488.95,5570.1,15.43,63993.78,2356.5,20046,ZW,Air Wisconsin Airlines Corp,Air Wisconsin Airlines Corp,06024,D,2019,4
3683.87,9783.25,91268.6,196.4,17278.7,2095.23,751.58,1126.1,155912.67,67234.71,12980.93,8929.7,24544.43,13561.27,8647.37,876.86,146129.43,4926.2,20422,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,06795,D,2019,3
4071,5580,81512,180,3963,2020,0,0,87989,34732,7472,8440,13904,8003,4383,0,82409,5373,19930,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,16031,L,2019,4
4269.34,16891.76,167434.86,0,0,0,0,0,167434.86,60352.33,51830.59,7895.97,909.93,11379.89,18174.4,0,150543.1,4269.34,20378,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,06689,D,2019,2
4490.9,9725.6,88206.36,195.24,15812.86,1367.18,758.54,1961.15,147162.89,60450.4,9438.62,7657.3,20141.02,21467.26,7415.27,750.86,137437.29,5610.03,20422,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,06795,D,2019,2
