year,quarter,month,airline_id,unique_carrier,unique_carrier_name,unique_carrier_entity,region,carrier_name,service_class,rev_pax_enp_110,rev_pax_miles_140,rev_pax_miles_first,rev_ton_miles_240,rev_ton_miles_freight_247,rev_ton_miles_pax_241,avl_ton_miles_280,avl_seat_miles_320,avl_seat_miles_first,rev_acrft_miles_flown_410,rev_acrft_miles_sch_430,rev_acrft_dep_perf_510,rev_acrft_hrs_airborne_610
2019,4,10,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,2813539,3974626235,3974626235,402761290,4290592,397462624,605376334,4737744915,4737744915,28832413,28486674,22175,62947
2019,4,11,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,2609899,3685135166,3685135166,373227045,3725640,368513517,579962451,4535249880,4535249880,27637344,27188426,20938,60490
2019,4,12,19930,AS,Alaska Airlines Inc.,06031,D,Alaska Airlines Inc.,F,2876523,4125702860,4125702860,416790806,3181647,412570286,612827809,4788721210,4788721210,29114218,28753734,21876,63927
2019,1,1,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,932030,862675727,862675727,86267573,0,86267573,105364737,1053647373,1053647373,6103907,6103907,6715,13894
2019,1,2,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1019118,952870944,952870944,95287094,0,95287094,113541993,1135419933,1135419933,6585906,6585906,7187,15018
2019,1,3,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1493502,1394075837,1394075837,139407584,0,139407584,160984359,1609843590,1609843590,9406650,9406650,10223,21154
2019,2,4,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1277198,1161443571,1161443571,116144357,0,116144357,142429548,1424295483,1424295483,8317506,8317506,9219,18782
2019,2,5,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1278660,1101242879,1101242879,110124288,0,110124288,130805100,1308051003,1308051003,7653905,7653905,9008,17249
2019,2,6,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1605437,1363585715,1363585715,136358572,0,136358572,157521518,1575215175,1575215175,9240042,9240042,11041,20738
2019,3,7,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1753466,1494166607,1494166607,149416661,0,149416661,168119833,1681198329,1681198329,9860499,9860499,11745,21761
2019,3,8,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1251828,1055970020,1055970020,105597002,0,105597002,414489885,1229096031,1229096031,7204914,7204914,8693,16133
2019,3,9,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,778093,645765910,645765910,64576591,0,64576591,77560502,775605018,775605018,4551169,4551169,5582,10222
2019,4,10,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1115393,951922114,951922114,95192211,0,95192211,149378490,1135532316,1135532316,6639044,6639044,7862,14958
2019,4,11,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1110068,969790464,969790464,96979046,0,96979046,122058254,1220582544,1220582544,7010989,7010989,8115,15875
2019,4,12,20368,G4,Allegiant Air,06035,D,Allegiant Air,F,1318262,1174202378,1174202378,117420238,0,117420238,141027091,1410270909,1410270909,8199539,8199539,9318,18600
2019,1,1,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1531667,1599340911,1599340911,159934091,0,159934091,188412445,1884124452,1884124452,9843712,9843712,9283,22032
2019,1,2,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1416925,1477203330,1477203330,147720333,0,147720333,171061787,1710617874,1710617874,8923010,8923010,8441,20139
2019,1,3,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1635473,1693252193,1693252193,169325219,0,169325219,190037126,1900371258,1900371258,9902910,9902910,9449,22211
2019,2,4,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1583647,1636809736,1636809736,163680974,0,163680974,188737785,1887377854,1887377854,9814740,9814740,9398,21951
2019,2,5,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1854317,1893777864,1893777864,189377786,0,189377786,214576241,2145762406,2145762406,11179500,11179500,11088,25207
2019,2,6,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1911915,1969003203,1969003203,196900320,0,196900320,217862299,2178622992,2178622992,11336523,11336523,11170,25449
2019,3,7,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,2071079,2137241002,2137241002,213724100,0,213724100,234995296,2349952956,2349952956,12268948,12268948,12063,27173
2019,3,8,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,2019327,2046749529,2046749529,204674953,0,204674953,234620864,2346208644,2346208644,12229889,12229889,12023,27038
2019,3,9,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1797459,1865273228,1865273228,186527323,0,186527323,231863639,2318636392,2318636392,12089586,12089586,11911,26720
2019,4,10,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1998856,2011030163,2011030163,201103016,0,201103016,238562633,2385626330,2385626330,12493302,12493302,12304,27758
2019,4,11,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1922277,1916310825,1916310825,191631083,0,191631083,229471295,2294712946,2294712946,11996113,11996113,11799,26835
2019,4,12,20436,F9,Frontier Airlines Inc.,06460,D,Frontier Airlines Inc.,F,1939759,1990889663,1990889663,199088966,0,199088966,227483844,2274838440,2274838440,11873119,11873119,11720,26766
2019,1,1,19687,QX,Horizon Air,06580,D,Horizon Air,F,614229,239844297,239844297,24088750,67821,23984430,37793170,312244100,312244100,4108475,4207265,10732,11901
2019,1,2,19687,QX,Horizon Air,06580,D,Horizon Air,F,526336,207514461,207514461,20816401,51683,20751446,31201697,257396876,257396876,3386801,3723558,8636,9810
2019,1,3,19687,QX,Horizon Air,06580,D,Horizon Air,F,653747,267251339,267251339,26804995,53835,26725134,40162085,330893512,330893512,4353862,4438106,10720,12300
2019,2,4,19687,QX,Horizon Air,06580,D,Horizon Air,F,624158,261089564,261089564,26208491,58183,26108956,39792627,327537048,327537048,4309698,4376923,10560,12207
2019,2,5,19687,QX,Horizon Air,06580,D,Horizon Air,F,665461,274745983,274745983,27592861,68196,27474598,41103077,338460376,338460376,4453426,4530451,11031,12522
2019,2,6,19687,QX,Horizon Air,06580,D,Horizon Air,F,673199,277259514,277259514,27839664,64257,27725951,41052638,337846752,337846752,4445352,4514020,11214,12600
2019,3,7,19687,QX,Horizon Air,06580,D,Horizon Air,F,698727,292577071,292577071,29354461,70420,29257707,43259567,355914840,355914840,4683090,4736227,11772,13219
2019,3,8,19687,QX,Horizon Air,06580,D,Horizon Air,F,690120,289870813,289870813,29095440,68474,28987081,43584471,358379900,358379900,4715525,4782082,11761,13296
2019,3,9,19687,QX,Horizon Air,06580,D,Horizon Air,F,637896,263864923,263864923,26474626,60559,26386492,40301191,331137092,331137092,4357067,4426451,10881,12377
2019,4,10,19687,QX,Horizon Air,06580,D,Horizon Air,F,683172,275514071,275514071,27641160,63301,27551407,41508424,339279276,339279276,4464201,4557840,11473,12823
2019,4,11,19687,QX,Horizon Air,06580,D,Horizon Air,F,651614,269272598,269272598,27008218,54643,26927260,41948763,340867980,340867980,4485105,4619457,11024,12752
